issue_month,total_loans,total_defaults,default_rate
2014-07-01,29306,5158,0.17600491366955573
2014-08-01,18814,3332,0.17710215796747103
2014-09-01,10606,1873,0.17659815198943993
2014-10-01,38783,7081,0.18257999639017095
2014-11-01,25054,4401,0.17566057316197015
2014-12-01,10307,1721,0.16697390123217232
2015-01-01,35107,6435,0.18329677842025807
2015-02-01,23770,4190,0.17627261253681112
2015-03-01,25400,4758,0.1873228346456693
2015-04-01,35427,6484,0.18302424704321563
2015-05-01,31913,5845,0.18315420048256195
2015-06-01,28485,5264,0.18479901702650517
2015-07-01,45962,8259,0.1796919194116879
2015-08-01,35886,6283,0.17508220475951625
2015-09-01,28641,5138,0.17939317761251353
2015-10-01,48631,8128,0.16713618885073306
2015-11-01,37530,6459,0.1721023181454836
2015-12-01,44343,8032,0.18113343707011254
2016-01-01,32366,5393,0.16662547117345364
2016-02-01,39529,6627,0.1676490677730274
2016-03-01,61992,10430,0.16824751580849143
2016-04-01,36432,6052,0.16611769872639437
2016-05-01,28403,4663,0.16417279864803014
2016-06-01,33019,4944,0.14973197250068143
2016-07-01,34696,5628,0.16220890016140188
2016-08-01,36280,5672,0.15633958103638368
2016-09-01,28144,4083,0.14507532689027858
2016-10-01,32772,4102,0.12516782619309166
2016-11-01,34591,4435,0.12821254083432107
2016-12-01,36183,4650,0.12851339026614708
2017-01-01,31835,3549,0.11148107428930422
2017-02-01,27763,2980,0.10733710333897634
2017-03-01,37181,3713,0.09986283316747802
2017-04-01,29683,2957,0.09961931071657178
2017-05-01,37681,3642,0.09665348584167087
2017-06-01,38087,3361,0.08824533305327277
2017-07-01,39415,3338,0.08468857034124064
2017-08-01,43573,3277,0.07520712367750672
2017-09-01,39713,3069,0.07727948027094403
2017-10-01,38151,2377,0.06230505098162564
2017-11-01,42343,2251,0.053161089200103914
2017-12-01,38154,1875,0.04914294700424595
2018-01-01,36347,1452,0.039948276336423914
2018-02-01,32746,1112,0.03395834605753374
2018-03-01,38771,1176,0.030331949137241753
2018-04-01,42928,1109,0.025833954528512858
2018-05-01,46311,933,0.020146401502882685
2018-06-01,41533,543,0.013073941203380445
2018-07-01,43089,338,0.007844229385690083
2018-08-01,46079,175,0.0037978254736430912
2018-09-01,39026,80,0.0020499154409880592
2018-10-01,46305,21,0.00045351473922902497
2018-11-01,41973,10,0.00023824839777952494
2018-12-01,40134,2,4.983305925150745e-05
