,NAIVE,MA3,MA6,"ARIMA(1,0,0)","ARIMA(2,0,0)","ARIMA(1,0,1)","ARIMA(2,0,1)"
RMSE,0.008974211060279937,0.009251102296337835,0.011535789758508597,0.017848783083170304,0.017352478388476898,0.017403262779032442,0.01751641447395939
MAE,0.007010906850369703,0.006503460937865566,0.008902015442212788,0.014261182065210147,0.01388234190449944,0.013819490329097137,0.014172934746467183
MAPE,0.043620917439508244,0.04282305857883991,0.05906573794390766,0.09176102913607441,0.08941479086423161,0.08920030065029372,0.09093031500545667
