Unnamed: 0,NAIVE,MA3,MA6,"ARIMA(1,0,0)","ARIMA(2,0,0)","ARIMA(1,0,1)","ARIMA(2,0,1)","ARIMA(1,0,0) WALK FORWARD","ARIMA(2,0,0) WALK FORWARD","ARIMA(1,0,1) WALK FORWARD","ARIMA(2,0,1) WALK FORWARD"
RMSE,0.0089742110602799,0.0092511022963378,0.0115357897585085,0.0178487830831703,0.0173524783884768,0.0174032627790324,0.0175164144739593,0.009638099123127504,0.009242706256861214,0.009317510747037756,0.009282109580474283
MAE,0.0070109068503697,0.0065034609378655,0.0089020154422127,0.0142611820652101,0.0138823419044994,0.0138194903290971,0.0141729347464671,0.007477064592739936,0.006949295343750719,0.007041478262982923,0.007029347797455808
MAPE,0.0436209174395082,0.0428230585788399,0.0590657379439076,0.0917610291360744,0.0894147908642316,0.0892003006502937,0.0909303150054566,0.04771547483937427,0.04465701075867151,0.045258266060976875,0.04493999973900261
