issue_month,residuals
2014-12-01,-0.0015656973520028206
2015-01-01,0.016102143744278374
2015-02-01,-0.002173948561287664
2015-03-01,0.011935169016282388
2015-04-01,-0.000886048324025307
2015-05-01,0.00177887575645716
2015-06-01,0.0022286936784597644
2015-07-01,-0.003727203880281388
2015-08-01,-0.005064027487836409
2015-09-01,0.0030520164806546735
2015-10-01,-0.01094237317052249
2015-11-01,0.004860342480391133
2015-12-01,0.007741439255934041
2016-01-01,-0.01355057829744788
2016-02-01,-0.00016903148730279538
2016-03-01,0.0004961886514708302
2016-04-01,-0.002285345616600404
2016-05-01,-0.0027568784807616986
2016-06-01,-0.015155455783010002
2016-07-01,0.009461582012788822
2016-08-01,-0.0025542872907572123
2016-09-01,-0.011712008982371652
2016-10-01,-0.021939342839005255
2016-11-01,-0.006539568812476193
2016-12-01,-0.005585705793652196
